-16799965799409916/6410147287704333 -34070253242148783/9020476171641260 -152269460259616/40248997946905 397721589234184264/955893244673475 -76592445/262737076 262737076/76592445
350613643754741620/37930381061372489 360536864755597667/63289042009662457 -138990793510678452/3389860974853763 -11557739936566733/3448333646918448 128866813/927579044 -927579044/128866813
308863332841724633/524298412413220316 1431019305178051415/972736127982200572 -356435253584869347/730727118999265972 -268506758487555693/334960929645447422 1032945946/444681531 -444681531/1032945946
-91916997395786819/37850001522476468 7017178196896589/1686989608734690 -50397003932629893/4039562536000576 -604109588905669/15139203916824 -80185612/71554931 71554931/80185612
-1051478157684326589/428960515416581818 -70716931725891719/27692885521849484 8168567459188791/17210822206839442 37244502835346445/202527168389196271 -540501634/707763165 707763165/540501634
68000768573538704/29851647489964155 3804224676178189075/2180363889883574679 -83571814047910243/49789563102235986 -24095757733755730/410971394805482707 1496901309/456690685 -456690685/1496901309
76135548494297017/290618072701427796 -533830170392323874/646774772660400399 44292611637713709/6629053468574953 -34539845655080489/16926818940650553 -315169539/138872939 138872939/315169539
-29127413520004530/46913283193603411 -12075626860777778/2400711117819495 1199388993219009241/281695014610252581 2591454366444189359/24715999550966178 -506857143/1314801517 1314801517/506857143
-1333549348970234363/247325038198145397 -272379015358827509/43585780114604661 150079245457081136/2338596370740695157 -26337499112920213/48764659108315748 -2141581011/551571818 551571818/2141581011
173530153666426541/3188923854061290 706376128028892634/13437816430015693 -91634812028202330/1782063326121623 631762853146054980/24572962622338673 11905783/621356610 -621356610/11905783
2285138050020429159/1273984501209142814 186142564396877366/872968105542835617 -411813601920460965/1610520238448425024 1603265150291092845/169407996372686533 1369167583/971638165 -971638165/1369167583
-17408288955054023/51789491814830152 -185610527726476693/1448381732212504 -20524567455149873/4934632525843661 657307256372849605/5914666753965104 113659016/393619729 -393619729/113659016
76594074479784637/88179148402144140 -18905920952631926/367273630949948355 925224270375333338/2667677121866085375 50917494921527989/279435369038445555 1346589705/1373619307 -1373619307/1346589705
86711077716127829/93384469834513574 -1142922801410316751/716852959287544862 -691251393248886039/173794324891878614 -23384952821478365/25373589176746722 -357531778/850478359 850478359/357531778
-49820026707302470/99436363422927861 44703438847091803/31165360424500569 -43787743061791516/43680802512128699 312089604883170464/64225424849113683 134878713/180895186 -180895186/134878713
-8056244998524946/7568258552510837 -753392702495685589/338278326010608298 -178102012868342020/276148750554379241 -35566408656563795/152181441369824888 -724178413/1879065620 1879065620/724178413
-353392417209971291/14759465791095157 -4763529305774983/203426345128175 -70540894189992235/31631664344986596 478085450958964045/234501440625699 -41296247/876157270 876157270/41296247
-529029460835498555/9097579340751847 1192771875045426674/401614080826244913 -68294395152249164/213670270090308867 119297267579765436/1208758414453149505 598620539/98847852 -98847852/598620539
